Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
That's What I Am,7128804.43,0.0,0.0,0.0
The 10 Year Plan,1266770.08,0.0,0.0,0.0
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,77482053.52,0.0,0.0,1223602.74
The 11th Hour,0.0,1135077.87,97651.2,1580968.02
The 12th Man,0.0,0.0,0.0,11423642.8
The 15:17 to Paris,34778222.23,42054157.87,14553858.28,66282986.02
The 16th Episode,0.0,537993.21,0.0,0.0
The 2nd,0.0,0.0,0.0,14848.36
The 33,32936022.12,15489712.39,7331135.42,35434121.85
The 355,77250000.0,15007568.65,4760417.95,28662577.35
The 40 Year Old Virgin,44263259.59,186329999.6,36470908.52,301975269.61
The 5th Wave,46735206.89,42943243.8,12700115.37,135170974.57
The 9th Life of Louis Drax,0.0,0.0,0.0,719135.54
The A-Team,161538708.48,113403255.8,37696460.07,260281147.26
The ABCs of Death,0.0,29340.38,13586.99,31701.64
The Abandoned,4814119.32,2652599.0,3982881.38,7269146.86
The Accidental Husband,0.0,0.0,0.0,23388275.92
The Accidental Prime Minister,0.0,0.0,0.0,3762756.03
The Accountant,54114450.08,106088974.98,30390518.97,191319233.85
The Accursed,0.0,0.0,0.0,150151.3
The Act of Killing,1384233.87,674009.77,37997.22,1005402.28
The Adam Project,119480000.0,0.0,0.0,0.0
The Addams Family,27012211.44,113365559.17,34102924.82,230047453.68
The Addams Family 2,0.0,59929342.42,18380099.93,127111895.82
The Adderall Diaries,0.0,16223.27,6785.21,18895.78
The Adjustment Bureau,71573196.52,89103846.24,30165863.89,182311159.2
The Admiral,10134160.65,0.0,0.0,8105114.21
The Adventurer: The Curse of the Midas Box,19571597.76,8349.24,6205.5,167625.52
The Adventures of Pluto Nash,186029457.17,8222650.83,4060837.02,13215482.41
The Adventures of Sharkboy and Lavagirl 3-D,85121653.06,66697384.5,21280413.27,122562676.04
The Adventures of Tintin,192477719.72,110627397.78,13859811.6,533225947.25
The Aeronauts,0.0,0.0,0.0,3922680.71
The Aftermath,0.0,1821632.63,63500.08,10372228.86
The Age of Adaline,31669252.03,54002124.81,16725745.57,83180273.48
The Age of Stupid,983183.32,0.0,0.0,523622.26
The Air I Breathe,15579674.17,40156.61,30360.11,4053983.9
The Alamo,113516300.0,23780032.12,9680395.29,27392396.62
The Alibi,0.0,0.0,0.0,229256.58
The Alphabet Killer,3025179.45,45050.97,16638.49,161236.01
The Alpines,10300.0,0.0,0.0,0.0
The Alpinist,0.0,896187.85,338053.66,1533882.11
The Amazing Maurice,17000000.0,4303645.0,1463195.0,21120688.0
The Amazing Spider-Man,318373790.27,362711718.89,85828989.27,1049153295.39
The Amazing Spider-Man 2,260954636.77,264678372.01,119528101.53,925061122.86
The Ambassador,0.0,40066.73,18600.48,40066.73
The American,29370674.27,52289163.57,19352028.88,99678606.99
The American Meme,0.0,0.0,0.0,0.0
The Amityville Horror,32346228.16,111055444.08,40019105.89,183039421.21
The Angel,0.0,0.0,0.0,0.0
The Angels' Share,0.0,465894.15,25315.35,17592498.39
The Angriest Man in Brooklyn,0.0,0.0,0.0,802693.85
The Angry Birds Movie,89780792.18,132222959.53,46926055.02,433326291.18
The Angry Birds Movie 2,73158072.65,46896706.15,11653600.38,166341250.95
The Anomaly,0.0,0.0,0.0,329185.14
The Answer Man,0.0,40349.84,19660.64,40349.84
The Ant Bully,82642381.61,46515322.34,13937579.81,91205998.41
The Apparition,23531975.8,6833712.07,3933283.93,15711974.95
The Aristocrats,0.0,10857200.45,415046.37,11592018.23
The Armstrong Lie,0.0,515115.08,38962.82,798815.83
The Art of Getting By,0.0,2039181.68,968319.76,2697724.95
The Art of Racing in the Rain,20259158.58,29708527.62,9158922.48,38004816.25
The Art of Self-Defense,0.0,2713504.95,128728.94,2717281.03
The Art of the Steal,0.0,83590.29,52194.84,101054.68
The Artifice Girl,0.0,0.0,0.0,0.0
The Artist,21386413.3,63691136.95,292107.04,190297975.13
The Assassination of Jesse James by the Coward Robert Ford,48141193.17,6273036.57,237194.87,24073446.55
The Assassination of Richard Nixon,0.0,1242843.01,65838.89,7761170.35
The Assistant,0.0,1202341.72,86479.51,1463031.42
The Astronaut Farmer,20861183.71,17657616.78,7147874.38,17861809.25
The Atticus Institute,1266770.08,0.0,0.0,41196.63
The Autopsy of Jane Doe,0.0,12506.5,0.0,7367354.01
The Avengers,304531451.56,862873132.61,287143685.71,2104780943.27
The Aviator,192885665.84,179927834.76,1504545.02,374759211.96
The Awakening,4277282.66,298976.35,136777.52,9808760.12
The Awakening of Motti Wolkenbruch,0.0,0.0,0.0,0.0
The Axiom,0.0,0.0,0.0,0.0
The BFG,172182341.16,68238038.68,23091312.28,240124768.59
The Baader Meinhof Complex,31159348.33,742013.14,27027.62,41967521.38
The Babadook,2609546.37,1258340.22,39152.33,13679840.95
The Babymakers,0.0,10920.22,7218.78,658218.43
The Babysitter,0.0,0.0,0.0,0.0
The Babysitter: Killer Queen,0.0,0.0,0.0,0.0
The Babysitters,0.0,63948.23,33531.04,63948.23
The Bachelors,0.0,0.0,0.0,126822.68
The Back-up Plan,51398679.97,55055339.2,17918622.5,113777598.27
The Backwoods,5776943.18,0.0,0.0,198843.99
The Bad Batch,7164313.78,215945.55,106403.19,241067.22
The Bad Education Movie,0.0,0.0,0.0,3953837.71
The Bad Guys,72100000.0,100150638.9,24668752.35,257667146.34
The Bad Lieutenant: Port of Call - New Orleans,37814743.12,2574597.12,371186.49,16043164.93
The Bag Man,0.0,73816.24,38139.82,602518.16
The Baker,3894918.54,0.0,0.0,11547.65
The Balkan Line,258867026.3,0.0,0.0,6583551.23
The Ballad of Buster Scruggs,0.0,0.0,0.0,0.0
The Ballad of Jack and Rose,2553649.59,1212600.51,101224.97,1559515.51
The Ballad of Lefty Brown,9552418.37,9380.47,6637.74,9380.47
The Banana Splits Movie,0.0,0.0,0.0,0.0
The Band's Visit,0.0,4901506.82,108304.85,23408794.79
The Bang Bang Club,0.0,0.0,0.0,315509.48
The Banger Sisters,18602945.72,56380721.47,18673350.43,70818350.44
The Bank Job,31159348.33,46833528.8,9246935.46,101000567.59
The Banker,0.0,0.0,0.0,1857635.9
The Banshees of Inisherin,0.0,10899733.98,189987.62,50740567.61
The Barbarian Invasions,10836667.41,15433175.35,833272.9,63002596.26
The Barkley Marathons: The Race That Eats Its Young,0.0,0.0,0.0,0.0
The Barrens,0.0,0.0,0.0,208762.63
The Batman,190550000.0,380425950.49,138028882.72,795412950.49
The Battery,8063.5,0.0,0.0,0.0
The Battle of Shaker Heights,1806111.23,506345.09,76884.35,506345.09
The Baxter,0.0,309624.91,63733.99,309624.91
The Bay,0.0,42451.68,27334.47,2188822.58
The Baytown Outlaws,4120000.0,0.0,0.0,38594.1
The Beach Bum,5627544.05,3942207.16,1984350.82,5126035.33
The Beach House,0.0,0.0,0.0,0.0
The Beaches of Agnes,2960138.09,373461.93,29651.24,3482066.52
The Beat That My Heart Skipped,9022895.22,1742310.85,111279.54,20015691.07
The Beatles: Eight Days a Week - The Touring Years,0.0,3604039.59,965864.22,16895072.46
The Beautiful Person,0.0,0.0,0.0,1165697.71
The Beautiful Risk,0.0,52522.34,11902.14,0.0
The Beaver,29940978.62,1384151.48,153379.08,10400640.52
The Bee Gees: How Can You Mend a Broken Heart,0.0,0.0,0.0,306364.59
The Beguiled,12537549.11,12788294.13,273786.64,33277197.48
The Belko Experiment,5970261.48,12139714.77,4940068.98,13235627.91
The Benchwarmers,54543971.86,98912607.11,32489082.13,107373327.53
The Benefactor,0.0,0.0,0.0,2359612.83
The Best Exotic Marigold Hotel,13842338.71,64245119.16,1020250.96,208329709.93
The Best Man Holiday,22846578.45,94779964.72,40462036.31,97885103.67
The Best Offer,18142871.12,134438.68,3487.46,28114331.51
The Best of Enemies,11255088.1,11486510.72,5004226.02,11491234.48
The Best of Me,33924102.78,34923836.96,13052725.21,50376859.44
The Best of Youth,0.0,494917.82,13527.77,5056701.47
The Beta Test,0.0,32378.67,18927.52,39821.94
The Beyond,0.0,0.0,0.0,0.0
The Bezonians,0.0,0.0,0.0,19315.59
The Big Bang,24237935.08,0.0,0.0,228108.91
The Big Bounce,87675302.65,11379335.45,5850352.0,11938833.64
The Big Empty,0.0,0.0,0.0,0.0
The Big Short,35469562.28,89003101.24,893740.5,169038901.75
The Big Sick,5970261.48,51192755.75,503384.99,67358382.62
The Big Ugly,0.0,561778.6,166747.95,563190.4
The Big Wedding,47037073.28,29323379.16,10202560.25,62521861.92
The Big White,23834062.86,0.0,0.0,922446.33
The Big Year,58456196.36,10271378.18,4636409.02,11661891.41
The Biggest Little Farm,0.0,4915039.57,124359.72,5932202.4
The Binge,0.0,0.0,0.0,0.0
The Birth of a Nation,10453927.86,19507725.49,8614348.94,20636314.32
The Black Balloon,7789837.08,0.0,0.0,3328851.33
The Black Dahlia,82642381.61,37263582.1,16538219.86,81539423.17
The Black Phone,18540000.0,92826926.9,24342216.6,166283964.26
The Blackcoat's Daughter,0.0,24400.46,14808.64,45789.52
The Blackening,0.0,17707207.0,6013131.0,18169453.0
The Blackout,9879716.33,0.0,0.0,3145112.81
The Blind Side,43865102.02,387197043.78,51608611.51,467740682.94
The Bling Ring,10751331.03,7856174.98,288128.95,26939577.92
The Block Island Sound,0.0,0.0,0.0,0.0
The Boat,5627544.05,0.0,0.0,110929.02
The Bob's Burgers Movie,39140000.0,32891844.9,12789323.57,35173212.5
The Book Thief,25534411.21,28878721.58,141117.94,102925604.51
The Book of Eli,117482697.08,139268481.36,48152477.39,230718034.86
The Book of Henry,11940522.97,5379174.55,1700975.26,5488706.16
The Book of Life,65238659.19,65436388.43,22187952.43,130194908.06
The Book of Vision,0.0,0.0,0.0,122068.21
The Bookshop,6447882.4,1896334.15,90432.74,14402833.13
The Boondock Saints II: All Saints Day,12100717.8,15539118.61,826913.14,16077801.73
The Boss,35666342.1,77833656.01,29008598.26,96968890.83
The Boss Baby,149256537.07,208962773.45,59940114.22,630418938.37
The Boss Baby: Family Business,86993800.0,60789867.05,16975105.5,155682067.55
The Bouncer,6180000.0,0.0,0.0,546410.88
The Bounty Hunter,58741348.54,98481674.18,30378709.59,200210373.33
The Bourne Identity,111617674.3,226326568.47,50448658.78,398166705.07
The Bourne Legacy,173029233.84,156700631.15,52798590.29,382248916.17
The Bourne Supremacy,131512953.98,309041310.35,92097408.2,509981404.64
The Bourne Ultimatum,176517708.3,365024290.74,111179983.47,712650185.77
The Box,45377691.75,22767465.75,11452447.56,50420932.1
The Boxtrolls,78286391.03,66331152.3,22540268.59,141249225.69
The Boy,12298738.65,44053535.8,13256062.63,90923827.11
The Boy,10300000.0,36894142.68,11101743.76,76147273.76
The Boy,0.0,0.0,0.0,0.0
The Boy,0.0,0.0,0.0,0.0
The Boy Behind the Door,0.0,0.0,0.0,372764.19
The Boy Next Door,5067080.33,44873277.97,18887674.92,66411504.61
The Boy Who Harnessed the Wind,0.0,0.0,0.0,0.0
The Boy in the Striped Pajamas,19474592.71,14093616.29,394298.18,62967688.24
The Boys Are Back,0.0,1224822.55,74634.2,4919147.5
The Boys in the Band,0.0,0.0,0.0,0.0
The Brass Teapot,1209524.74,9403.38,6004.62,329295.8
The Brave One,112329450.74,59043254.2,21617783.54,111988280.52
The Breadwinner,0.0,373995.09,20770.54,3331661.43
The Break-Up,85948076.88,196198427.03,64746644.94,339938213.93
The Breaker Upperers,0.0,0.0,0.0,3208187.83
The Breed,0.0,15844.54,0.0,1846691.15
The Bridge,40117.66,288494.12,79132.89,330126.63
The Broken,6231869.67,0.0,0.0,2630707.44
The Broken Circle Breakdown,0.0,242321.21,9828.06,8292604.6
The Broken Hearts Gallery,0.0,4444603.69,1230848.79,5224752.86
The Bronze,4304558.53,757376.0,475134.71,757376.0
The Brothers Bloom,30251794.5,5342097.84,136738.11,8365776.8
The Brothers Grimm,149814109.39,64549906.5,25694822.19,179293894.83
The Brothers Solomon,16047064.39,1445721.75,816155.3,1660961.03
The Brown Bunny,180611.12,661580.35,91391.03,727138.58
The Bubble,0.0,0.0,0.0,0.0
The Bucket List,70108533.75,145617764.66,523223.1,273224643.88
The Burning Plain,30251794.5,303622.14,88863.13,8534754.25
The Burnt Orange Heresy,0.0,157572.33,17661.75,777683.97
The Burrowers,10905771.92,0.0,0.0,0.0
The Business,3404866.12,0.0,0.0,4327031.55
The Butterfly Effect,22795578.69,101595848.88,29984953.51,169778701.3
The Butterfly Effect 2,0.0,0.0,0.0,1597407.82
The Butterfly Effect 3: Revelations,6806653.76,0.0,0.0,1071143.44
The Bye Bye Man,8835986.99,26741763.59,16121316.78,35671452.64
The Cabin in the Woods,41527016.12,58239255.08,20408609.88,96950131.83
The Cake Eaters,0.0,0.0,0.0,11828.45
The Cakemaker,0.0,1045692.49,39862.24,1537423.53
The Calcium Kid,0.0,0.0,0.0,191486.37
The Call,1639090.5,564416.44,151055.3,1738740.65
The Call,2015874.57,694161.03,185778.97,2138431.68
The Call,14205451.0,56682347.99,18706114.87,74931165.35
The Call,17470912.93,69712138.43,23006161.8,92155881.98
The Call Up,0.0,0.0,0.0,187302.41
The Call of Cthulhu,85121.65,0.0,0.0,0.0
The Call of the Wild,147518145.0,68123188.76,27090476.92,121574487.25
The Caller,0.0,0.0,0.0,308759.41
The Calling,0.0,0.0,0.0,246933.54
The Campaign,131502217.72,120300645.64,36804646.9,145216855.31
The Canal,0.0,0.0,0.0,95276.31
The Canyon,15125897.25,2699.97,2699.97,2699.97
The Canyons,335979.09,76368.05,17942.63,363106.05
The Captive,0.0,1402863.42,532091.72,2735081.21
The Card Counter,0.0,2819713.06,1102890.42,5347848.37
The Case for Christ,5970261.48,17531892.55,4737862.2,21702692.15
The Cat in the Hat,196866124.58,182686860.02,69226726.49,241947638.1
The Catcher Was a Spy,16229837.04,840732.22,133051.04,1105892.98
The Cave,51072991.84,25550100.06,10465356.54,56684989.22
The Cellar,0.0,0.0,0.0,1698546.22
The Central Park Five,0.0,424903.3,39886.92,424903.3
The Change-Up,74139566.12,52869316.68,19292134.52,107574281.97
The Chaperone,4277282.66,0.0,0.0,397996.87
The Children,0.0,0.0,0.0,2025437.1
The Children Act,0.0,634992.37,88230.03,20515434.48
The Children of Huang Shi,62318696.66,1607622.95,66610.9,12130295.36
The Choice,0.0,23036633.32,7441281.72,28385405.18
The Christmas Chronicles,0.0,0.0,0.0,0.0
The Christmas Chronicles: Part Two,0.0,0.0,0.0,0.0
The Chronicles of Narnia: Prince Caspian,350542668.74,220641666.91,85742432.97,653825280.81
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",306437951.02,496618377.52,111605232.92,1268334958.03
The Chronicles of Narnia: The Voyage of the Dawn Treader,227622725.58,153295755.32,35252253.12,610449223.88
The Chronicles of Riddick,184118135.57,101284284.17,42591197.85,203232287.92
The Chumscrubber,11239363.9,86934.83,47185.49,580812.31
The Circle,21492941.34,24475497.7,10787245.17,48545866.59
The Clapper,0.0,0.0,0.0,8069.71
The Class of '92,1679895.47,0.0,0.0,67746.82
The Cleaning Lady,0.0,0.0,0.0,79914.5
The Cleansing Hour,0.0,0.0,0.0,152276.97
The Clearing,0.0,10106989.7,829024.35,21955296.84
The Climb,0.0,256166.9,106692.77,777627.15
The Clinic,0.0,0.0,0.0,0.0
The Clovehitch Killer,0.0,9515.32,5999.24,194751.09
The Cloverfield Paradox,52167333.34,0.0,0.0,0.0
The Cobbler,0.0,0.0,0.0,8235345.77
The Cold Light of Day,27684677.41,5209679.06,2535346.15,23343142.77
The Coldest Game,0.0,0.0,0.0,0.0
The Collection,10381754.03,9471008.43,4297034.29,13745035.37
The Collector,9075538.35,11665264.39,5409468.58,15480561.72
The Colony,21502662.07,0.0,0.0,749723.91
The Comeback Trail,27318175.0,0.0,0.0,2630472.53
The Comebacks,32094128.78,21422713.82,8913492.76,21726367.6
The Comedian,17910784.45,1980935.15,12803.82,1980935.15
The Command,23185481.49,0.0,0.0,7908306.9
The Commuter,34778222.23,42132492.34,15883738.08,139046099.66
The Company,26302590.8,4004857.02,164436.78,11248771.14
The Company Men,21386413.3,6332191.91,923603.63,11530128.29
The Company You Keep,2687832.76,6898359.06,177017.98,26898056.28
The Con Is On,15070562.97,0.0,0.0,256615.75
The Condemned,0.0,11829424.09,6110072.21,13869249.88
The Conductor,6180000.0,0.0,0.0,1247735.82
The Confines,0.0,0.0,0.0,0.0
The Confirmation,0.0,0.0,0.0,10308.8
The Congress,45892284.99,185211.84,38489.77,1019701.93
The Conjuring,26878327.59,184716425.24,56250058.17,430599196.67
The Conjuring 2,49194954.62,126081921.37,49694669.59,397017477.73
The Conjuring: The Devil Made Me Do It,41375100.0,69627980.94,25572285.82,219002700.94
The Connection,33924102.78,249185.58,13484.83,15738749.55
The Conspiracy,2015874.57,0.0,0.0,0.0
The Conspirator,35644022.17,16450719.97,4999575.98,22278289.47
The Constant Gardener,42560826.53,57167356.6,14601768.37,140396414.83
The Contract,40117660.98,0.0,0.0,8904836.97
The Contractor,51500000.0,1066322.95,577498.34,2185956.64
The Cooler,5611219.37,14539321.69,226154.94,18350069.1
The Core,108366674.08,56327003.24,21769295.31,132746667.06
The Corporation,0.0,6125901.45,50274.77,8076091.27
The Cottage,3894918.54,0.0,0.0,2533379.66
The Counselor,33597909.48,22811253.61,10540242.09,95430607.05
The Count of Monte Cristo,65110310.01,100891331.14,21162990.09,140256998.53
The Counterfeiters,6739767.04,8807543.62,140434.28,30192091.1
The Countess,8621761.43,0.0,0.0,1186659.92
The Country Bears,61372711.86,29793514.48,9310547.25,31584321.12
The Courier,0.0,7016190.01,2000675.99,27584701.72
The Courier,0.0,7443475.98,2122517.15,29264610.06
The Courier,0.0,9154536.58,2610428.38,35991779.09
The Courier,0.0,0.0,0.0,4987144.5
The Courier,0.0,0.0,0.0,5290861.6
The Courier,0.0,0.0,0.0,6507092.4
The Courier,16443950.0,0.0,0.0,61942.77
The Courier,17445386.56,0.0,0.0,65715.08
The Courier,21455625.0,0.0,0.0,80821.26
The Cove,0.0,1296296.96,87185.67,1796100.47
The Covenant,33056952.65,38644395.8,14631764.25,62145033.01
The Craft: Legacy,0.0,0.0,0.0,2100829.94
The Crazies,29370674.27,57454309.44,23595741.8,80485667.3
The Crocodile Hunter: Collision Course,22323534.86,52911566.02,17741858.15,61543284.46
The Croods,181428711.21,251538712.05,58648156.0,789196056.09
The Croods: A New Age,71027255.0,63999725.51,10625895.89,235926113.51
The Crow: Wicked Prayer,0.0,0.0,0.0,0.0
The Crucifixion,0.0,0.0,0.0,7826203.24
The Cry of the Owl,17394781.84,0.0,0.0,49268.07
The Curious Case of Benjamin Button,233695112.49,198655375.22,41837370.34,523169798.99
The Current War,33765264.3,6730024.95,2964271.69,13750521.21
The Curse of Bridge Hollow,0.0,0.0,0.0,0.0
The Curse of La Llorona,10129579.29,61603305.45,29654490.81,138700658.93
The Curse of the Were-Rabbit,51072991.84,95525046.15,27283170.11,327958763.16
The Cursed,0.0,4726040.67,1829426.26,4726040.67
The Cut,20876370.94,36619.76,6950.53,1607663.23
The D Train,3090000.0,693345.53,483070.0,798023.4
The Da Vinci Code,206605954.03,359554090.63,127390566.87,1256175679.55
The Damned United,15125897.25,680461.18,48501.19,6188576.32
The Dancer Upstairs,0.0,4422567.58,197455.39,9724407.11
The Dangerous Lives of Altar Boys,22323534.86,3378041.94,102316.2,3788674.06
The Danish Girl,18448107.98,13668840.28,230377.51,78947476.52
The Darjeeling Limited,25675303.03,19100363.4,216535.88,56294687.33
The Dark,0.0,0.0,0.0,32155.94
The Dark,3477822.22,0.0,0.0,7643765.19
The Dark Horse,4566706.14,88115.25,10636.51,2429636.41
The Dark Hours,851216.53,720.13,575.42,720.13
The Dark Knight,288223972.07,833492432.71,246799928.93,1603563120.04
The Dark Knight Rises,346058467.68,620343833.32,222705643.11,1501987375.16
The Dark Tower,71643137.79,60540033.55,22870517.08,135203828.72
The Dark Valley,8285309.72,0.0,0.0,3118778.46
The Dark and the Wicked,0.0,171833.51,65977.76,804414.26
The Darkest Hour,42772826.61,30573295.02,4268042.3,92142343.72
The Darkest Minds,39415318.53,14717785.43,6773185.14,47695293.33
The Darkness,4919495.46,13225539.62,6088932.1,13403525.74
The Darwin Awards,0.0,0.0,0.0,511404.28
The Daughter,0.0,32439.15,0.0,1851493.93
The Dawn,0.0,0.0,0.0,153757.62
The Dawn Wall,0.0,1124532.95,25057.71,1675752.7
The Day,0.0,29046.76,14009.83,111912.54
The Day After Tomorrow,219188256.63,327451121.4,120542290.65,969056832.92
The Day Shall Come,0.0,30357.22,16718.31,621318.0
The Day the Earth Stood Still,124637393.33,123651165.68,47487085.23,363152637.33
The Dead,0.0,0.0,0.0,6770.29
The Dead Don't Die,0.0,7387395.25,2859062.5,17248949.25
The Dead Girl,0.0,31893.54,10611.92,1452726.3
The Dead Room,101341.61,0.0,0.0,172684.83
The Death of Dick Long,0.0,40273.55,29099.32,40273.55
The Death of Stalin,15522679.85,9609560.94,220666.83,29428678.57
The Death of Superman Lives: What Happened?,0.0,0.0,0.0,0.0
The Deaths of Ian Stone,0.0,155948.58,821609.7,2417589.74
The Debt,28515217.74,44451728.49,14128576.08,65066548.51
The Debt Collector,3477822.22,0.0,0.0,33207.41
The Debt Collector 2,2513272.1,0.0,0.0,29477.4
The Decoy Bride,3460584.68,1050.63,750.25,162999.08
The Deep Blue Sea,0.0,1606155.28,176567.65,4481899.31
The Deep House,0.0,0.0,0.0,2014721.24
The Departed,148756286.9,218836024.89,44440886.17,481772774.94
The Descendants,28515217.74,117745265.2,1696792.33,252706400.63
The Descent,5784966.71,43014460.48,14729070.69,94427229.86
The Descent: Part 2,0.0,0.0,0.0,10662072.54
The Details,0.0,78213.83,22787.1,78213.83
The Devil All the Time,0.0,0.0,0.0,0.0
The Devil Inside,1384233.87,73726986.91,46693689.81,140857548.49
The Devil Wears Prada,57849667.13,206176973.96,45514868.54,539995428.63
The Devil and Daniel Johnston,0.0,552794.89,38332.84,714590.49
The Devil and the Deep Blue Sea,0.0,0.0,0.0,60044.9
The Devil's Candy,0.0,0.0,0.0,922189.28
The Devil's Carnival,692116.94,0.0,0.0,0.0
The Devil's Double,27232032.94,1941190.56,137463.31,8167062.05
The Devil's Hand,9133412.29,7497.23,5530.93,1863860.66
The Devil's Rejects,11917031.43,29017939.18,12031664.76,35584015.8
The Devil's Rock,0.0,0.0,0.0,29688.62
The Devil's Tomb,15125897.25,0.0,0.0,334168.88
The Diabolical,0.0,0.0,0.0,341341.33
The Diary of a Teenage Girl,2533540.16,1871021.94,66295.15,2248685.37
The Dictator,89975201.6,82569857.69,24134244.89,248303225.29
The Dig,0.0,0.0,0.0,735.2
The Dilemma,99803262.08,69114172.46,25401683.89,99406852.08
The Dinner,0.0,1580103.73,780843.34,3038768.76
The Dinner Party,0.0,0.0,0.0,0.0
The Dinosaur Project,0.0,0.0,0.0,3339569.41
The Dirt,0.0,0.0,0.0,0.0
The Dirty Picture,427728266.05,0.0,0.0,487278.02
The Disappearance of Alice Creed,1174826.97,245215.76,59120.23,1317155.79
The Disappearance of Eleanor Rigby: Her,0.0,0.0,0.0,135455.03
The Disappearance of Eleanor Rigby: Him,0.0,0.0,0.0,142408.16
The Disappearance of Eleanor Rigby: Them,3914319.55,766911.75,87342.82,1889410.73
The Disaster Artist,11940522.97,25219120.04,1446409.28,35607375.02
The Discovery,0.0,0.0,0.0,0.0
The Dissident,0.0,60471.3,26522.5,108204.37
The Divergent Series: Insurgent,139344708.95,164906953.63,66206066.17,376233915.3
The Divide,4152701.61,0.0,0.0,201649.65
The Djinn,0.0,132370.61,53376.0,286811.13
The Do-Over,0.0,0.0,0.0,0.0
The Domestics,10433466.67,0.0,0.0,69285.17
The Door in the Floor,13151295.4,6759106.52,801134.83,11774910.63
The Doorman,0.0,0.0,0.0,336421.14
The Double,0.0,261484.37,19109.71,2169204.99
The Double,0.0,285731.04,20881.69,2370348.86
The Double,17614437.98,179955.62,34759.16,6171387.97
The Double,19247771.97,196642.37,37982.27,6743642.26
The Drawn Together Movie: The Movie!,0.0,0.0,0.0,0.0
The Dream Boy,1869560.9,10179.76,3494.52,10179.76
The Dreamers,26302590.8,4440277.13,250106.08,42350949.99
The Dressmaker,21535091.38,2561554.78,234561.48,31673591.99
The Drop,16440142.12,13992895.18,5355509.38,24344955.18
The Dry,0.0,386419.03,126633.27,17045290.4
The Duchess,21032560.12,21576256.48,296677.5,67527580.0
The Duel,10000000.0,0.0,0.0,20672.0
The Duff,10767545.69,43108620.37,13692706.56,55370195.96
The Duke,0.0,1619962.47,27345.76,15093654.52
The Duke of Burgundy,1266770.08,81733.27,15077.1,234538.68
The Dukes of Hazzard,85121653.06,136654688.28,52222668.72,189088414.43
The Dyatlov Pass Incident,0.0,0.0,0.0,7011678.09
The Eagle,35644022.17,27788138.14,12381969.09,54164205.55
The East,0.0,190.96,48.8,169942.39
The East,0.0,241.9,61.82,215277.93
The East,6895850.0,2442021.0,81722.19,3067923.35
The East,8735456.47,3093479.13,103523.22,3886353.51
The Echo,7562948.62,0.0,0.0,2281177.4
The Edge of Democracy,0.0,0.0,0.0,0.0
The Edge of Heaven,0.0,1191252.22,22878.3,28571100.1
The Edge of Love,0.0,0.0,0.0,6695693.7
The Edge of Seventeen,11068864.79,17749088.26,5847084.78,23822681.37
The Education of Charlie Banks,7562948.62,22806.83,12914.49,22806.83
The Education of Fredrick Fitzell,0.0,0.0,0.0,187931.01
The Edukators,0.0,307728.04,17666.57,14296087.61
The Eight Hundred,87418160.0,407319.45,129117.72,504207795.9
The Eight Mountains,7917762.44,311529.68,34322.69,11484919.21
The Electrical Life of Louis Wain,0.0,0.0,0.0,1554448.19
The Emoji Movie,59702614.83,102795380.7,29292399.0,260036704.29
The Emperor's Club,23253682.15,26265035.84,7156143.95,30357122.09
The Empty Man,0.0,3270475.09,1431828.6,5241803.77
The End of the Tour,0.0,3803963.61,156114.21,3892773.06
The Endless,0.0,315345.73,10529.69,1108758.71
The Enforcer,0.0,0.0,0.0,1302543.15
The English Teacher,0.0,140855.88,8064.84,430070.71
The Equalizer,71762525.11,132474584.28,44542122.53,250947989.37
The Equalizer 2,71874992.61,118343754.26,41747360.63,220725965.75
The Escapist,0.0,20937.52,4790.75,604762.44
The Escort,0.0,0.0,0.0,0.0
The Estate,0.0,0.0,0.0,572062.0
The Ex,0.0,3186195.82,1436055.87,5333999.2
The Exception,0.0,846550.84,25494.21,1042174.81
The Exorcism of Emily Rose,32346228.16,127805827.68,51165433.95,247136766.52
The Exorcism of God,1339000.0,0.0,0.0,6285114.59
The Expendables,117482697.08,151359602.29,51141884.82,403069026.93
The Expendables 2: Back for War,138423387.07,117698903.33,39577142.76,436000385.37
The Expendables 3,104381854.71,51307000.93,20719334.96,280079450.18
The Experiment,32014034.95,0.0,0.0,1052321.89
The Express,62318696.66,15257807.45,7108498.98,15280737.61
The Extra Man,9980326.21,646407.19,26891.28,926211.34
The Extraordinary Adventures of Adèle Blanc-Sec,46023846.58,0.0,0.0,50817638.45
The Extraordinary Journey of the Fakir,0.0,0.0,0.0,3677584.28
The Eye,18695609.0,48949306.2,19358954.13,90378188.39
The Eye,22323534.86,58448031.48,23115603.64,107916283.4
The Eye,7010853.37,797755.66,0.0,18952698.55
The Eye,8371325.57,952561.98,0.0,22630513.23
The Eye 2,4033063.92,0.0,0.0,5523366.96
The Eyes of My Mother,0.0,33328.35,10955.72,36329.24
The Eyes of Tammy Faye,0.0,2550538.33,692086.6,2839159.36
The F Word,14352505.02,4557572.73,174706.52,11124871.94
The F**k-It List,5463635.0,0.0,0.0,0.0
The Fabelmans,41200000.0,17869413.35,166426.37,47000401.74
The Factory,25000000.0,0.0,0.0,30640.0
